real, imag
0060e6, 042dc3
f59a4b, 06e0fb
061fa7, fca986
037bf0, 024b95
0779db, 00d714
0f459a, ff8045
01d654, 08a9c4
f63ac7, 05f98d
0394c3, f94736
f3eeb5, fda85e
f4aa2f, edfcc0
155022, fb8534
f54790, ff22bc
fb72c2, 00df56
0ad1aa, 22552a
0d657b, 070d01
ed3188, 0caa99
eea298, f27852
05aa58, 0b98ec
1560f2, fc3e4f
fa8bcb, f8f2be
000a33, 0e0590
f97322, edc2ac
0322db, f65619
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
16ac8b, 02afe8
04c39c, ff1680
f205e1, fb0cbb
ff3584, 01385b
0334d4, 080f3b
015493, 094152
09415f, f5d5eb
e61d90, fec9ae
0b5a9c, fca459
09f040, fe335e
f5945a, 150404
fd5a7e, 106f16
02b139, 042cc3
f0c0e8, f4c264
1cc9bb, 0748cb
f03b81, f25101
083f43, f37e9b
fb8177, 0acd1a
0099a8, f97b30
15c54a, eb1c8e
167664, 0af21c
e067cc, f938e0
1232c7, 095f3a
fc57ac, ff426e
006416, f8542f
f760e9, 003a60
12cff8, f7cfc5
fc39ea, e9fbce
f7b053, fe6cbc
036336, 07610e
0797e0, fb72de
0a0a69, 1248c9
edb15d, 073f15
fb23e1, f5b50b
0b3066, f503a1
eddc6b, f7ebda
f8d5d3, 108a73
fe958c, 05629f
f898ad, 08064d
034d17, ef7963
153f78, 0e19fe
fc2c9c, 03ee22
f1b946, 0611dc
067dc2, 049380
066735, 067d20
0dee7b, 00cb7d
f4cfc5, 08c2b8
050559, f852b8
ec85aa, fd1056
ebedfb, f9412a
f73f32, fe0b71
fa577a, 099fe5
f3c971, 003b7f
074991, f209c9
092461, 23602a
f36dd6, e7be39
05e992, fbda50
fb130c, f5393f
0675d3, 087d10
0b4890, 0e0386
fd2b8b, 073220
0f312c, ff626f
fffd6a, 0ca299
1e063f, 00738e
fdb8f3, 0eccfa
042f68, f961ae
d1f4d6, d61985
01a007, f404f3
f34693, 0baab0
f14f2d, 0a8fd1
fb7a33, fe1314
ec4934, 0035a1
f9a77e, f03f2e
eef425, 04992a
077050, e85d20
0f09b0, 0b8091
065b9b, efec48
fc6deb, fbb9ff
0a017f, 0b0ea8
03310a, 06071e
062169, 028b03
0110c1, eac0fc
058de2, f5cbd8
f8cc9e, 036426
0d3b24, fd3d18
04fa59, f0bc6b
f7eb42, 0c04f2
ff2544, f75edd
f6d13b, fcee5c
fb0616, 048916
049b55, 01d65f
f73430, 0fd18d
0b3c5d, fb82c3
07a870, f839c3
07648e, f18e13
f9c494, fa4184
fb6953, f675a6
0bfc7b, 0d1df7
02be39, 10ae13
fa9d59, 005a0a
f22276, 14546b
0aba5a, 1c025d
fa7c9b, 1219a6
165a90, fc0fa3
09f81b, f2c8ed
eaa943, 000e8b
002a64, 024794
f5e90d, 0ba848
042f11, 1624fd
0732e8, 0421b2
e7f421, fb32a1
068efc, 09ef8d
123abe, fb4844
f58b8b, 034e72
11030e, 0dacb0
01b11b, fe7f94
fed908, ff8afd
03cc7d, 155839
04734b, fed5b6
fd6136, eed18d
feb2cb, e71fb4
f801ff, f13420
ffed31, 0083d3
f831e2, fc72a0
fe9824, 00950a
fc1380, f009cb
f48540, fb65c8
fc4c01, e849bd
e3213e, e77904
f91447, f66879
e2b048, 096c7d
f4494b, 06ed8a
114f67, 0722f0
ebc60e, 0702bb
1b6157, 04cc64
fe5349, fe6ac9
f018bf, 005d1c
0833ff, faf07d
f3d97d, fa29ce
095af8, f7de10
fa5cd1, eff6d6
f28e29, 063274
080f89, 15f136
f9c451, 059782
090f64, f3811c
ff21b9, 10c2a7
037904, 038c35
ef1202, e8e9c1
f94162, f8510f
fa747c, f4cfb9
09f1d9, 0553be
06f1ee, ef4208
056e74, f9622c
fbd650, ffd9bc
183111, 1a83af
ffab28, e90086
1011f0, 0c6f2e
fca36e, 087f18
da8c3f, fda627
f44322, 031f7d
009283, 027dd8
016392, 0a7db0
0c8f7d, fc9890
f8628f, 04c0e5
0f5b6a, 0e0bf6
008067, fbecf4
0a68e3, fa5e60
f53a59, ffed28
0081ae, f8463a
e8bc77, fe30f5
e70caa, 175357
00d740, 19a2b0
052b7d, e6468f
07c2ba, 077c2a
1a8276, f60294
079632, ed5907
edf0dd, 0ed861
0872a6, fdcde8
db5489, 0aef60
0b733b, 157c6c
0bb984, 0eca02
02ee71, f0c8b4
fc6572, dc2040
034186, 074ed3
f4a08c, fc766c
f1d0ca, 09e749
066a0d, 011812
fef71d, 087f13
002205, fea181
0e605e, f25193
01e22b, 0373c4
ffc620, f3d65b
0f5fba, f277e8
02f824, f67358
f5175b, 150cf6
f432ea, f95fcf
f89aee, 0e1240
fc11f4, 159215
050b32, 083fb9
103366, f8cc74
f0b3e0, 0afa04
12f8a2, 03e753
fc7ac6, e355ec
f4ee14, f65832
fd8a01, db60d2
fc99ac, 08ad4e
0cc75d, 0c85e5
eb19aa, 07ef84
123342, f4aad4
f843d7, 1dfe65
f562b8, 11d9b3
fdec28, e8ee09
0dc2bf, 0d11d3
e439ae, df54a2
000785, f3e251
ed7aaa, f12934
03bd16, e4dacd
ec67f2, f430c4
0ecc8e, 104a98
03a1f3, 082e24
f72f72, 015e19
01f045, ef96c1
f80cb8, f8c39c
2b3922, ffeced
02d3cc, 16d5c6
f74cd5, 15323f
f93a4f, 06d8cc
f66fd7, 0e36ca
f3f1e9, 0bc476
07b7e2, f7f2ae
fc91d0, 023bf3
03d22a, 0ebeb1
facefa, fdbd52
08326b, ff4be7
1cc756, f7df17
003b85, 0ea469
f886f7, ebfe0f
14466b, f69ee0
f866c6, 03c9f1
01666f, ec554e
fc3e92, ff1808
01a6d2, d03c76
ed2960, 0150cb
fba959, ed86b4
f69532, f6f8b2
0c7b1a, 03fb36
f06b32, f91fe1
0d96b1, 0f550f
094598, 0bfb25
086910, f0fdf2
eeebc5, f14218
035d0d, 03e0c2
fdccfd, 07f58b
14ecf4, eba793
e603c1, e1ae0c
f21090, 0ae1b1
1b6d18, 16b238
faa569, 02ba39
fba560, 0b4bc6
0730dd, 02e664
ec2adc, 0d57f6
fe8f76, f78e06
f7fb33, 0fc2e5
0984cf, f63f97
058426, 0e8d06
f5ad82, e7f9b7
ec7593, eadbda
0c6374, f7f67e
12e97d, 0e15b2
10f4c6, 0c72c3
059118, eac786
e9a23c, 24b7db
fef404, 03fdb6
fcbce9, f00925
e06a20, 15e5cd
ff8ff9, fc331d
0bd2d9, d443c6
feb79e, f05e38
17bc03, ffcac2
0f588a, fead0f
df7ee9, f3454c
029a7b, 01a39e
fde193, fc126e
fbe32d, f2c7f4
fc9da5, 07e8cb
e4e2a9, 0e5add
ead09c, fa08ec
f6df8f, 0a72b3
00bbe6, f4a84a
fcb276, ffcdb1
fd4853, f5e8b9
e77e48, f8a363
f1d24d, f76028
1abf93, 0021fb
00fac9, f347af
fbbb8c, e7455c
1c0b64, 074c3e
02ef4d, 0ce7bd
fda1eb, 0bb680
f2b191, fd90a1
fa338b, 2244fc
fe78f5, 11a81b
f54ff1, 0e2340
e9c4da, 19b84b
0fc534, 0fc8bd
10272e, 049893
107e56, f0ec63
f7634a, f22a3f
125e0a, fb3020
0014d7, 083b63
e85157, f547a4
f9707f, 25ac1b
f086b5, 09af38
14ba97, 10419c
0ff9ce, 033dd7
e7f41c, 0952d1
11b1e4, 048c9f
facb49, fa642b
0830d6, 058b49
fcfd8e, 0aeabb
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
028828, fa91f8
f5ea0b, 0c883a
eccadb, e3928b
03d8ab, ec01e7
fbd8d5, 160233
f0a241, 1662eb
fb6577, ff5729
0e701e, ff2d3e
f88f49, 119592
ecf7c4, e9922c
faf40b, ed0962
f5c31a, e0c419
f4df22, f728aa
fa841d, ed88f2
fc565b, f19902
0dc271, 0f16fd
fd9cee, f77295
f7d9f1, f13c61
07e991, 07e0b4
02c0ff, ef1f5a
fd3de4, 041aaf
fde95b, ec2e55
f25865, fa3eb6
03ff90, 1bc5c3
ecf93e, 08625c
eec892, 13482b
085199, 031c13
f5b817, fc42be
f426d6, eeac0b
06470b, 03a97b
05ef02, 0af92a
0f9b9c, e4e883
fc20ae, f09a2b
df7f40, 08cfea
f032ba, fd20b4
f85520, f35f38
fd092c, 0deb6a
0145cd, 01ccd4
f67567, f31b36
0af6b3, 0c43f9
f6627b, 07a9fb
f33e64, 0c53ba
04fe10, 07070f
ee7ba9, eb1a52
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
0f9ca8, 049636
f6c0de, fa796d
f35497, 18d1d2
fef92b, 1c44a4
ff7c65, 0d29e9
fb7241, 05e9c7
fb7190, 05505e
f1d59f, 015766
fb7f72, 08fe5b
092d54, 0b21bf
f92d0f, 1c96f9
f1edfa, f6c892
f29c40, e5c86c
04094e, f4d2de
f903cf, f5536b
f4600c, ed4c17
fa1090, 027e42
d87df5, 166a76
e8f354, fa46e8
0bae9d, ff9f4d
f261b8, f335d9
05efff, ebc26a
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
fe6e21, feb9ca
fbb318, fc286b
f8378e, 0a0b96
fc6406, 0e10d6
e63050, 0f350f
1613d8, 02f5a4
010ccb, 07dd14
ffa68c, fd3b8d
e52be2, 092f4d
03af77, fab8f5
06944a, 1ee666
faa1a6, ffb4cc
0a0626, 04459a
07eab9, fe54c7
08dcd9, fa498a
e9dc7c, eaeeec
0f5e40, f6d3b5
00acd7, 08032e
01f78e, ffd182
025848, fd6e1e
e29126, f395a1
08da7d, f8ca75
f0d6e0, 0803fd
01e041, f8b1d0
f9ba62, fbcd85
1209d4, 14df30
0ad82b, 05ac2e
0222a2, 00fced
0b5901, 1a37d7
f9e023, ffbdf4
03bfe1, fa3239
0a4bfc, f3af76
fb2780, 136756
058fe9, 129fc1
04e635, 11a7ec
fa387f, f6df67
065652, 04bd30
052d39, ee68bf
f4579a, fb51c7
13ca47, f31853
f95dbf, f4fbc2
039b7f, 03ecc9
fdaabe, 0051cf
08d42a, 03df75
e969ac, f13115
03bbe5, 0f1e0c
08ad6b, f13246
0aa5d9, fea44e
f822e8, f50f95
0a95fe, f26512
086d61, 1e11af
fa44ec, f1edd4
ffbad9, 06fb6c
e53d1e, 0ea8c4
0c780f, ea6eac
f8bd8c, fa5fdf
04c946, 04bef8
fa4d6f, f4b95f
f22bd6, f1a958
f1dea1, ee10ee
0d0060, 1028a8
050cb5, 06e95d
0b6514, f0b1bc
046443, 048466
fd83d1, fe898b
07c854, 114ba6
07c9fa, 0716a5
0649cd, f7365c
f3a8ba, fd3e8c
f8f2f1, 1279ac
fefba8, fda5fa
095ab8, 1246e2
069d01, 01171a
088bf1, fb8a98
f4e8df, 09ffeb
0d30ad, 1242fe
01f56e, ee1b31
09e27a, 00299d
042699, ee4e41
f1c9c0, e688e5
07431d, e670b8
f251b4, f5f3c7
074488, 13b07c
0a5538, 04154e
f6af36, ff6724
067bab, ea5b99
025b76, f16e21
fbc242, e8b83d
fc2fe8, 04a34e
0c6922, fab943
f7c0f1, ff273e
f5a754, 2a5500
edd238, fc17be
01381f, 008269
03a0ac, fd820d
e46230, d81f86
fae16a, fac872
07e8c3, effeba
f7f924, ea9b79
0018a1, 01559a
f86896, fc1bfb
f7958e, ea6ed4
f57e1c, fb7645
181ee3, f43572
052db0, 03fbd8
fb6959, 085528
f8338d, f7a1ea
011e06, 10b7d0
ff358a, eb5382
ebbabf, 083c0b
0e26a4, f777e9
f86fe7, 015381
00fda0, 0894dc
0f9324, 030fe4
07c6bc, fc5623
06c59e, f7662a
0cda7d, 073855
08c6af, ebed0c
00a076, f5ffa9
09a6c3, 022983
0d7af2, f9bda9
fb374f, f900ba
ffef27, 0b9555
f85a37, f76236
0b093b, 194b02
f70c34, ff49bd
0437c1, fae73b
00893c, fe5c7c
10e588, 02ad86
0c3c58, 02f562
ffc836, 140b24
f978a5, 03cb28
fba1d7, f2a36d
01cc7a, f642b9
e5f54e, ff88d0
0abef7, ff897d
0404bb, 136ec2
07eeed, 09fcc8
0a87dd, 04e12e
04f675, 0645d7
0ec053, fad788
e84a6b, fe40e8
f24078, 0dfa2b
13ff9f, f89ac6
03483b, 130d57
173f89, 05e584
fdb9e0, f4770c
e5097b, 009311
fb53b0, f0590c
036d30, 089ec4
f22d00, ee1360
fb76b9, 0d4507
fe5e9b, fbd708
1b0002, febbcd
fb1890, fb7961
128f98, f602a3
0bef38, f9990c
00951b, 046507
ee36ae, 020844
01e9ea, ffaad7
febeb9, 0cb770
f7f11e, f7b1a6
0200f4, f8ccec
06421c, 09ab8e
045494, ecfdf0
eff8ce, 0c3b7f
041f4e, 1d6b42
132bef, 0a7719
1114f3, f7bb5c
f6a2ef, 0cc483
fc712d, 002f23
ffd90d, f77923
ffd934, e35c23
02b993, f4ab1d
0de4d7, 0ab373
f848c5, e361cb
fb2101, 1390d9
1490c5, e7c240
fc2368, fee074
f6707e, e79dd4
0962c4, 0ac912
eff6c0, 121e81
18b4f7, 06e360
f89fdf, 08b21b
04aec0, 0040f4
ef8e81, 0283a1
056874, 0724a2
f99e36, 0fa71a
0d7266, 067599
067de0, ed8420
f446ed, 059892
0b3a4c, f91e77
f3d823, fd7ab2
00c32e, 01116a
f187b6, 02ade2
16b10b, 0ab807
02837d, 15ed23
e956db, 00e1f1
05a962, 08fdbd
0bc279, f2f350
0f7cfe, 1b4a89
ffe1da, f8c4ac
002682, fd0700
0ef708, f9a520
07a755, f99e49
ffa6ca, 0168d3
ff6e22, 074059
ffea39, 0a7e9a
0c1aa6, f78567
1ca006, 047895
f929c7, ef3ccd
00babc, f9c20b
f46976, 1886f9
fed6ff, f7d206
f9b991, 187ed1
03dbb3, f7a12e
fbe0ad, f26ce1
e9fcfa, 12c7a8
04bf82, 0601cc
085524, 07a006
04460c, 00334e
07a8c6, fbb6c1
015019, 01251f
009e1f, fbbb34
f8d83b, f8e164
01ee3a, 1a3f0f
0508a7, f047e2
0e280e, f915bc
0c4a06, fd255d
fa5075, 08c50b
03e0b2, 1040e9
f19726, f846b3
0e0cf0, ffa6b3
f8a8ad, 0450c0
02d86e, ffd6cf
127557, f7b827
ed130f, fccd25
f39280, f958c1
08e93f, fb8413
f18b0d, 038c2e
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
0811d9, f2a1dc
09cc6c, fd2874
0afb78, f6285a
0292e5, 018ea2
f1767a, fe1654
02a7b9, ff96e1
0b6d49, 16145c
f0290d, 0a859c
e75cab, 06a8b9
ef576f, ecf06d
f1b858, 274dc4
0d9a1e, 03620b
f93884, fe5cc9
075012, 015559
038eb4, f69f30
00c3e6, 0c245d
f455dd, 15f18a
eddbc4, 072370
feba38, e7b4ac
f632c0, 0466c9
01342e, ec6934
01d935, fe8759
0947e5, 02577a
f55376, 0f7ac0
0e8d0c, 07e779
fe2f09, f558df
f547a2, fc6e86
fd26f7, 1491a6
0145ab, 0e804d
f3e517, fac5c2
0622c2, 00b18c
1610f2, ff50e3
102be5, 04ba3f
f84eec, 0b0860
0d7862, fcbf80
0bfab2, f598ee
0111fb, 047ce8
ff4027, 0e684d
f032c6, 0b92c9
f5ea7a, f4a1d6
f3a6cc, 16afe4
01d00b, 053d4c
ecdd82, 0121a2
f4c3a5, ecb201
09102f, 0c0e72
efbc54, ef8512
fbcaeb, 236498
0f85e7, 03a879
f9abb5, 02f29a
f1c934, fb5a79
fe248c, fe7e08
fd0da3, 0048f3
fa78cb, fc3bcb
f56b5a, 0082a6
01faea, ffbff0
f9b116, 0d9d2b
f42cf0, fcc98c
f56e06, fb3ad7
f016e5, 007cd5
127614, 0d8529
08782c, ff69a7
fce040, f655ce
fe1e58, fc090e
ff60dc, f48c07
fdec4e, 014ed7
fda8f5, fa4f93
069176, 01c68d
f2b70d, f20446
0bf94c, 05e599
1a07d7, 1187b9
ff68da, 041493
022813, 06c861
eb8580, f471b4
f33d9e, f5beb5
164e13, f6c11c
0ef587, ff0a7d
0dd8a2, 04a01d
0d4b26, 0d7a34
f984f0, f6598d
04f584, f23c0b
0450f4, f53169
099284, 150665
ef6b66, f7b780
01f5bb, fa9cc0
ec572e, 0164fd
0fffd9, 02fdde
15a1fa, 07ce92
0154c8, 0e1cc8
11f104, 079ed8
0af6f9, 0d4653
0a160e, 10a315
0b8f4f, ff21a7
0e70dc, 01f51e
12ee6f, 07d051
fd418f, 084e48
008dab, 0667bf
fd3051, f79827
03a99a, 069642
fdd5ec, f7968a
01a43e, 010020
0c03a7, fec891
05552f, 200b59
0682be, e01571
13bd35, fc9a50
067673, 0f34d2
02932a, f38197
130ced, 0c0916
0b6ad0, 0ade4c
f35144, faa3dd
fa0a92, fd32b9
02b95b, 0b9ed1
f65eab, 01e9c6
f689a4, 076d40
0ce430, f98028
f4d63f, 024ca4
eff457, fe7af1
0e83da, 012a6d
063d34, f2f391
fd3cae, 1f78e2
fc5473, fd924a
f0baf2, fa3633
fffe10, df57ad
036cc6, f02346
0528ee, 0638eb
ff6222, 0c7a46
f98e21, 1d8582
f73867, fc06a2
0c919f, f62ce7
01b8f3, f6f2d7
055d4a, ffd28a
eda96d, 0cafbb
1d29a5, 0d3d7a
0d8958, fca57c
027318, 011699
048018, f6a90a
03975d, ff98b3
ff2a0b, f51e49
06414c, f94fc2
fbe49c, 0146ce
fadc29, f2d808
07427d, ed33ac
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
7ffff8, 000000
02dd3f, 001d04
0e4d48, 02d8f4
0ab4a3, f3dd2f
fe9bb6, 0ee11a
0b4c30, 145d0e
fc7d13, f6e0ab
fdf54c, f3d4a0
fd6753, 001ffe
0e92bb, f037ed
110adc, 0a8e38
096553, f8bde9
0e7ee3, 034273
f58a3c, 0aa46a
eb2902, 0875f8
02c47f, f86bd8
f6507f, 08655f
032fef, 0af8dc
058cc6, fc15cb
e21364, f58994
144511, 0350d0
0872a3, 039ff8
e4bd64, f4e6d3
e6260b, 01c63c
f9fd04, fdffd7
031b9c, 01442d
13eb5f, 08a2c9
edc038, f5dfd2
192cae, 03a634
008337, 02fa20
09c3ba, f2bff6
0def8c, f0fd78
0badff, ea8eb8
faef5a, 14224c
f5f139, e7df0c
fc3f08, 06042e
039753, f9508c
128a0d, f97e45
024064, f695dc
fca248, 0aed0e
0193b7, f518e2
061aed, 0c3fed
ed9831, 096945
0f02a5, f7d657
12259c, 08b2bf
e4fc9b, f6910c
101dcf, f3eead
ffd806, f5b990
14ac73, f7eaca
f9375f, ff81ba
0252d0, 060164
071073, e50620
f5644c, 076231
09d798, 06dc22
f79e1e, 129f56
09618c, f5d4ce
09635e, 04722f
e9ef40, 062576
fdf09e, 0fe00f
06be76, efd12d
fecbba, f98db1
fc0abb, 0c3f19
00b2f1, 0d6802
01b7bb, 0bf1de
fc9023, f2401e
fa306e, 0a81b0
f67f6b, f73d5d
fc340d, 03adaa
0b9ba1, 1eb68d
f71dc1, f8c52b
0052b5, f4d7cb
02b9bf, 05973d
fa8ca7, 154bab
eb9121, e9f8cc
17e2d5, eeda99
17c176, 05f312
067bfe, e5b861
edc586, 0132f3
06c348, 07e0b6
ee6f55, f24dc9
04a9e3, 0a65a1
fcabbe, 0a36ef
0d0458, 098718
fa8312, f4a0be
0b21ad, ee5341
f60bc0, f3bf6a
f908cc, 059c02
f333d0, 0aec87
fc0d13, 06416a
fbb205, fd0a94
0291fe, ff5678
f4ce22, 0a0a43
f364c1, 0b08f0
06f7c1, 000a48
016e21, fdcc46
fa339d, ff501b
ff956f, f5aa23
073737, f67647
fd2455, f2c978
068ca8, fd8511
11c468, e8a75d
f95b70, ee4400
0442f9, fda7c3
fb1b7a, 17fcd7
0a5a40, 098be0
f577a5, fc1796
119609, fbe65f
fbbff5, db9f6f
feef04, 177bb8
026335, f90268
f7ca8f, e8c89f
03e951, f945e0
13af1b, ef4a40
0cc80e, 0d6243
f59def, f8e6c6
0392e8, 0e4eb6
f5fa55, 102a30
fc169b, f7a233
011edb, ff9b41
0b3c2e, 0e8243
f49f16, f4a4dc
010529, 03dfbd
f7638f, f62cef
08266c, ff2026
1578b1, fb67ce
f2581d, 0c145a
032e47, f1b12a
f870ae, e5e54a
f6282f, fa8c04
f8bf81, f06ee9
102cb1, f43c60
00b5d2, 0c1edf
008bef, fb342e
0d5330, f9ee34
f96e6f, fb9476
ec24a0, 1d7e42
f1f28e, f7f8fc
f3b930, f70a49
f2557b, e6dae7
1b67eb, 0abdd7
fe4993, 008e08
06bb2c, f6c6b0
02483a, 07f61a
f6cfed, fd937d
10e3f1, 00df91
0d1ba1, fb2aec
22ff6e, ec56f1
0178a3, ffa2b7
032401, 089b8e
f8e4e3, eb8f45
fe607a, 059b43
07408a, 0fdaf2
f58761, 14da5a
03c4c7, db1c52
047fd8, 0c3dcd
fae376, f42ed0
f9ccb7, e9b675
0b5bab, 06e222
068b17, 00634c
05fc5d, 08c344
fb43a4, ffb176
1562f2, f01f52
004f47, 0c6f0f
0caa39, e75f73
fe1490, f4e767
f012b5, 01965b
0d7c20, f195e1
ff1b77, 118684
176984, 048726
f2ada6, 028b5e
ffa0b9, f9eb0f
eee2e2, 0ee37a
07b18e, 08e1df
