real, imag
0a4bcc, 0b1bba
05af91, fdd5a0
053304, fa505e
05dbf1, ffbb08
fc92f1, fd7a7a
23ab2a, 098450
fecc10, fac4dc
f05703, 02bfde
f3d7b3, f2ef6a
1cc94d, f4f362
083294, 10b5a7
051584, 140d57
ff5a09, 16a3b1
f999b1, fe0564
04508e, fd3b13
0ebc34, 084e4e
03a868, f80fd4
f663dc, 0b70a9
f5a22e, f7a778
036183, 067fab
ff2a86, edfed9
ff0848, 05ab5a
0586a7, 02418d
031eda, f3338a
f17bfc, 0f530e
e9edda, 08a93d
fead59, f69e3c
05439e, fffda4
04a8ef, f29864
d7814e, f29f33
055399, fdd65e
07e2ac, fd1391
06601a, f975d4
004577, fb671a
02eda4, fd0430
064b46, f827e8
f405a4, f7d11d
f7585c, e598df
f623ce, 054125
feae99, ef6f92
086629, f67995
008b7d, 050693
0ce2a2, 0de5c6
053fd6, f35d8f
e934b9, 008f6f
ff9389, 0a4a95
0ae71c, f4cd19
179f1c, ed901c
f6fc0d, 0b0a6f
fce96b, f919bc
fdda98, fc96cb
0cf447, f5cf25
032ee2, fff93f
025647, f78a78
03cdaa, 18e23f
f92203, 004823
0d6d37, 0149d1
e7881a, f74e94
08b0ca, fbee16
f9ad4f, 1029f7
0aec56, fef794
fc776a, fda7dc
0fc860, 079af5
fd4a9b, 05ff19
ff694a, f7cfb6
000053, 0485ed
f5d75a, fd8410
f99104, f04bfd
feb736, 0d0b7c
08c2c9, e60b76
159ec5, 000edb
096f63, 0ce9a9
fe6189, 15a315
00e1de, 0af0be
077fec, f7c504
0abf9c, f9d6b3
fa65b3, 0b6018
07ac06, 107858
ee1c3f, 0f29f0
020a82, e44dfa
02a8b0, ff3f2a
f174bc, f0d8c8
02b560, 0349d0
08ccec, 0bd0cb
03f381, ff07fa
177142, fc4533
0ed528, 0ca17d
0af983, f01a55
029b28, f6d9b6
0beca7, 0e6823
01256f, 0892a0
f16f80, 199f7c
ea577f, ec6ce9
0845c6, 06e1d6
f0048f, fbf946
03c191, 131a0c
fd9cfb, 087f47
ee5f0e, fafe28
188c35, fb5d73
fb2833, f64ee8
f33467, f50fda
fa5e81, f7563d
07254c, f54ee1
fd4188, 006f25
0810b7, e86004
0af3be, 11d13d
e8a906, 0b73be
f55ffb, 0e4208
ff8c66, f07405
f45d02, 15a337
000cac, ef6ae5
03d5d6, 0af3c7
02fd55, fdf447
fb9eaa, 053fa0
f20fb6, ed6266
0d1478, 0c9f9f
077093, f58d2d
0a2ab8, 03ed6b
0f5d9f, fa244f
f088bb, 01e27d
02ef20, fc58ca
ef06af, 04f830
04436d, 0c0440
f5c000, fad245
f97427, f737d5
02acd0, f6e0ef
15a0f9, 05d404
eee36b, 0b163c
15535d, 0bbbf1
152074, 01c17e
f5a84a, fa38fd
046b8c, fdf331
0f23f7, f7d373
100b79, 114655
f40832, 03885d
0c215a, 0c0866
00582f, ff667a
0fc969, 01f4d9
0e503b, 0296e2
ff4812, f7a63a
16c4af, fcc581
11c474, 0d08a3
f22a64, 0781cb
fac024, efdd01
07c2d7, f639bb
085856, f18cad
026358, 00494a
0db8c2, 07c5fb
096a4a, e999e3
e8f0d9, edf64e
fc5cc1, 16c1ea
009912, f57c44
fee5f8, 026a66
0f5d0e, fd6a5d
fb8c09, 079b71
181bb0, f35de0
f69f2c, e66ffd
1496c5, 05908e
018b6c, e49b91
fc87cc, ff323f
fbd5d9, f62d68
f5ba11, 03eade
f11fcf, fd7f1e
f3e2be, f439df
fd984f, e82cf4
ff9d30, 06e8ff
f2b759, 0c7b2a
0d7e19, 0049db
fb9d85, fa704b
f505a8, 06e990
fa9a19, 0f68c4
01e78a, 0c4b61
f6ccf3, 000abb
f594c4, 11d557
ff4c49, fcfead
